id;fname;mname;lname;img;ps;pn;pc;address;addressl;job;phone;email;company;birth;
1;Alonso;Hopkins;Kristinka;i.png;2303;160716;760832;Cobblestone St 452;Cobblestone St 452;Reporter;9703838933;skippy@icloud.com;Schooliar;01.05.1990;
2;Kaydence;Sellers;Susannah;002-cool-5.png;5563;160745;807042;HyattsvilleMD20782;NULL;Elementary;8677084447;isotopain@sbglobal.net;School;29.12.2008;
3;Finnegan;Bray;Brighton;003-happy-17.png;3719;717453;83282;Philmont Lane;NULL;Childcare;2214287850;isaacson@att.net;School;02.01.1990;
4;Gideon;Arias;Varian;004-surprised-9.png;5810;721066;768289;Hanover Park II.60133;NULL;Loan;7862747872;mugwump@mac.com;RW;01.02.1990;
5;Case;Schultz;Aiden;005-shocked-4.png;2208;937197;780691;NorthairgroundCourt;NULL;DJ;3657526445;mcmillan@optoline.net;Gazprom;01.03.1990;
6;Pierre;Alvarado;Harriet;006-shocked-3.png;7184;275223;845839;Woodstock GA 30188;NULL;Cost;4466396043;dinther@hotmail.com;Ship;01.04.1990;
7;Esteban;Bell;Cameron;007-nervous-2.png;9563;574791;94009;Catherine Dr.;NULL;DJ;5554448316;pizza@yahoo.com;NightClub;01.08.1990;
8;Spencer;Anderson;Meaghan;008-nervous-1.png;9008;379623;674783;Lithonia GA30038;NULL;Electrician;3926824442;murty@outlook.com;NightClub;01.08.1990;
9;Seth;Sweeney;Jax;009-angry-6.png;3810;530169;845247;Harbor St.12;NULL;Referee;8364290386;aegreene@me.com;BoxClub;01.07.1990;
10;Lincoln;Mason;Emeline;010-drool.png;5387;689700;252988;Harbor St.8;Township;DJ;2839453092;jnolan@aol.com;NightClub;01.08.1990;
